routeId,routeName,routeTypeCd,routeTypeName,startStationId,startStationName,startMobileNo,endStationId, endStationName,endMobileNo,regionName,districtCd,upFirstTime, upLastTime,downFirstTime,downLastTime,peekAlloc,nPeekAlloc,companyId,companyName,companyTel
234001709,P9243(출근),11,직행좌석형시내버스,228001826,흥덕중심상업지구,47865,123000579,잠실역.롯데월드몰(중),,"서울,성남,용인",2,07:00,07:30,00:00,00:00,30,0,4100300,대원고속,02-455-2114
234001710,P9243(퇴근),11,직행좌석형시내버스,123000002,잠실역.잠실대교남단(중),,228001851,흥덕중심상업지구,47820,"서울,성남,용인",2,18:15,18:45,,,30,0,4100300,대원고속,02-455-2114
228000401,P9201(퇴근),11,직행좌석형시내버스,121000011,지하철2호선강남역(중),,228001818,한숲5단지,56698,"서울,용인",2,18:40,19:20,,,40,0,4100600,경남여객,031-321-3721
214000263,순환123A,13,일반형시내버스,214001320,기남방송,48405,214000358,대사1리,15557,"평택",2,05:40,21:00,06:45,19:25,60,70,4102200,평택운수,031-656-5961
228000398,P9241(출근),11,직행좌석형시내버스,228001817,한숲6단지,56697,204000064,판교제2테크노밸리,5002,"성남,용인",2,07:00,07:30,,,30,0,4100600,경남여객,031-321-3721
234001044,37-31,13,일반형시내버스,234000943,곤지암터미널,38538,234000785,추곡리종점,38587,"광주",2,10:50,17:50,11:40,18:50,0,0,4100200,경기고속,02-455-2114
214000269,순환122B,13,일반형시내버스,214001320,기남방송,48405,214001467,대추리평화마을,48483,"평택",2,06:40,21:10,07:30,22:00,50,40,4102200,평택운수,031-656-5961
234001247,36-14,13,일반형시내버스,234000910,곤지암터미널,38170,234000220,만선삼거리,38811,"광주",2,07:50,17:10,08:20,17:40,0,0,4100200,경기고속,02-455-2114
233000077,1000,13,일반형시내버스,233001903,장외리.오리골,37929,233003085,동탄역(동측),55399,"수원,화성",2,08:00,22:00,05:00,19:00,60,90,4106100,제부여객,031-295-7105
233000010,33-1,13,일반형시내버스,233001064,경진여객차고지,36104,233000812,구문천리,36758,"화성",2,06:00,21:00,07:10,22:00,60,70,4106100,제부여객,031-295-7105
200000023,83-1,13,일반형시내버스,201000143,곡반정동차고지,2230,202000220,수원여고.농천교회,3028,"수원",2,05:00,23:20,05:40,23:55,12,20,4103100,수원여객,031-244-5341
241004760,8862,43,일반형시외버스,228001986,에버랜드(승차홈),47904,165000856,인천터미널,,"수원,용인,인천",2,06:10,21:05,06:50,22:00,110,130,4150600,시외-경남여객,031-321-3721
200000054,82-1,13,일반형시내버스,201000143,곡반정동차고지,2230,202000221,수원여고.푸르지오자이,3029,"수원",2,05:00,23:05,06:05,00:00,16,24,4103100,수원여객,031-244-5341
239000005,40-5,23,일반형농어촌버스,239000687,현리터미널,44173,239000123,귀목종점,44047,"가평",2,06:40,17:00,07:10,17:30,0,0,4103800,가평교통,033-241-7342
200000070,11-1,13,일반형시내버스,201000143,곡반정동차고지,2230,201000596,수원역환승센터(10승강장),2989,"수원",2,05:00,22:40,05:10,22:40,22,25,4103100,수원여객,031-244-5341
